ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
200,UR,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,
202,Borger,,,,,,,,,,,,,,,,,,,,,,,,
203,,1000000,green_fruit,3,purple_fruit,3,blue_fruit,6,yellow_fruit,6,epic_fruit,3,175-175-175-175-175,,,,,,,,,,,,150-285-285
204,Felyne,,,,,,,,,,,,,,,,,,,,,,,,
205,WhoCares,,,,,,,,,,,,,,,,,,,,,,,,
206,Rath,,,,,,,,,,,,,,,,,,,,,,,,
207,Rath,,,,,,,,,,,,,,,,,,,,,,,,
208,WhoCares,,,,,,,,,,,,,,,,,,,,,,,,
209,LilCat,,,,,,,,,,,,75-75-75-125-125,,,,,,,,,,,,
210,LilTank,,,,,,,,,,,,125-75-215-125-125,,,,,,,,,,,,
211,LilAxe,,,,,,,,,,,,75-165-125-125-125,,,,,,,,,,,,
212,,1000000,purple_fruit,4,red_fruit,6,blue_fruit,6,yellow_fruit,2,epic_fruit,3,100-100-175-175-175,2000000,red_gem,2,purple_gem,2,blue_stone,5,gold_seed,1,,,
213,Borger,20000,red_seed,1,,,,,,,,,,,,,,,,,,,,,
214,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,
222,,1000000,epic_fruit,1,blue_stone,3,green_stone,3,,,,,,,,,,,,,,,,,
223,,1000000,blue_fruit,3,yellow_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
224,,1000000,red_fruit,3,blue_fruit,3,yellow_stone,1,,,,,,,,,,,,,,,,,
225,,1000000,green_fruit,3,yellow_fruit,3,epic_fruit,1,,,,,,,,,,,,,,,,,
226,,1000000,green_fruit,3,red_fruit,2,blue_fruit,8,yellow_fruit,4,epic_fruit,3,100-100-100-175-175,,,,,,,,,,,,150-150-150
